"Date" "Party" "Freq"
"2014-04-26" "DIMAR" 376
"2014-04-27" "DIMAR" 55
"2014-04-28" "DIMAR" 182
"2014-04-29" "DIMAR" 267
"2014-04-30" "DIMAR" 252
"2014-05-01" "DIMAR" 140
"2014-05-02" "DIMAR" 171
"2014-05-03" "DIMAR" 90
"2014-05-04" "DIMAR" 102
"2014-05-05" "DIMAR" 158
"2014-05-06" "DIMAR" 131
"2014-05-07" "DIMAR" 175
"2014-05-09" "DIMAR" 40
"2014-05-10" "DIMAR" 105
"2014-05-11" "DIMAR" 113
"2014-05-12" "DIMAR" 163
"2014-05-13" "DIMAR" 90
"2014-05-14" "DIMAR" 237
"2014-05-15" "DIMAR" 275
"2014-05-16" "DIMAR" 223
"2014-05-17" "DIMAR" 184
"2014-05-18" "DIMAR" 264
"2014-05-19" "DIMAR" 235
"2014-05-20" "DIMAR" 680
"2014-05-21" "DIMAR" 308
"2014-05-22" "DIMAR" 290
"2014-05-23" "DIMAR" 225
"2014-05-24" "DIMAR" 194
"2014-05-25" "DIMAR" 2260
"2014-05-26" "DIMAR" 1336
"2014-05-27" "DIMAR" 1126
"2014-05-28" "DIMAR" 2365
"2014-05-29" "DIMAR" 1248
"2014-05-30" "DIMAR" 1372
"2014-05-31" "DIMAR" 723
"2014-06-01" "DIMAR" 508
"2014-06-02" "DIMAR" 417
"2014-06-03" "DIMAR" 348
"2014-06-04" "DIMAR" 486
"2014-06-05" "DIMAR" 263
"2014-06-06" "DIMAR" 1019
"2014-06-07" "DIMAR" 736
"2014-06-08" "DIMAR" 1368
"2014-06-09" "DIMAR" 701
"2014-06-10" "DIMAR" 159
"2014-06-11" "DIMAR" 158
"2014-06-12" "DIMAR" 135
"2014-06-13" "DIMAR" 128
"2014-06-14" "DIMAR" 34
"2014-06-15" "DIMAR" 37
"2014-06-16" "DIMAR" 77
"2014-06-17" "DIMAR" 40
"2014-06-18" "DIMAR" 107
"2014-06-19" "DIMAR" 329
"2014-06-20" "DIMAR" 451
"2014-06-22" "DIMAR" 10
"2014-06-23" "DIMAR" 176
"2014-06-24" "DIMAR" 213
"2014-06-25" "DIMAR" 117
"2014-06-26" "DIMAR" 276
"2014-06-27" "DIMAR" 150
"2014-06-28" "DIMAR" 65
"2014-06-29" "DIMAR" 51
"2014-06-30" "DIMAR" 123
"2014-07-01" "DIMAR" 108
"2014-07-02" "DIMAR" 248
"2014-07-03" "DIMAR" 182
"2014-07-04" "DIMAR" 182
"2014-07-05" "DIMAR" 253
"2014-07-06" "DIMAR" 44
"2014-07-07" "DIMAR" 574
"2014-07-08" "DIMAR" 110
"2014-07-09" "DIMAR" 382
"2014-07-10" "DIMAR" 3006
"2014-07-11" "DIMAR" 751
"2014-07-12" "DIMAR" 385
"2014-07-13" "DIMAR" 162
"2014-07-14" "DIMAR" 140
"2014-07-15" "DIMAR" 348
"2014-07-16" "DIMAR" 149
"2014-07-17" "DIMAR" 215
"2014-07-18" "DIMAR" 207
"2014-07-19" "DIMAR" 149
"2014-07-20" "DIMAR" 80
"2014-07-21" "DIMAR" 100
"2014-07-22" "DIMAR" 540
"2014-07-23" "DIMAR" 240
"2014-07-24" "DIMAR" 253
"2014-07-25" "DIMAR" 125
"2014-07-26" "DIMAR" 83
"2014-07-27" "DIMAR" 67
"2014-07-28" "DIMAR" 1
"2014-07-29" "DIMAR" 0
"2014-07-30" "DIMAR" 11
"2014-07-31" "DIMAR" 66
"2014-08-01" "DIMAR" 55
"2014-08-02" "DIMAR" 40
"2014-08-03" "DIMAR" 33
"2014-08-04" "DIMAR" 146
"2014-08-05" "DIMAR" 205
"2014-08-06" "DIMAR" 181
"2014-08-07" "DIMAR" 74
"2014-08-08" "DIMAR" 151
"2014-08-09" "DIMAR" 24
"2014-08-10" "DIMAR" 2
"2014-08-11" "DIMAR" 99
"2014-08-12" "DIMAR" 125
"2014-08-13" "DIMAR" 190
"2014-08-14" "DIMAR" 115
"2014-08-24" "DIMAR" 196
"2014-08-25" "DIMAR" 300
"2014-08-26" "DIMAR" 308
"2014-08-27" "DIMAR" 77
"2014-08-28" "DIMAR" 33
"2014-08-29" "DIMAR" 221
"2014-08-30" "DIMAR" 166
"2014-09-01" "DIMAR" 27
"2014-09-02" "DIMAR" 177
"2014-09-03" "DIMAR" 119
"2014-09-04" "DIMAR" 106
"2014-09-05" "DIMAR" 96
"2014-09-06" "DIMAR" 144
"2014-09-07" "DIMAR" 65
"2014-09-08" "DIMAR" 891
"2014-09-09" "DIMAR" 858
"2014-09-10" "DIMAR" 532
"2014-09-11" "DIMAR" 584
"2014-09-12" "DIMAR" 199
"2014-09-13" "DIMAR" 315
"2014-09-14" "DIMAR" 33
"2014-09-15" "DIMAR" 291
"2014-09-16" "DIMAR" 50
"2014-09-17" "DIMAR" 78
"2014-09-18" "DIMAR" 110
"2014-09-19" "DIMAR" 49
"2014-09-20" "DIMAR" 63
"2014-09-21" "DIMAR" 80
"2014-09-22" "DIMAR" 146
"2014-09-24" "DIMAR" 92
"2014-09-25" "DIMAR" 168
"2014-09-26" "DIMAR" 41
"2014-09-27" "DIMAR" 197
"2014-09-28" "DIMAR" 108
"2014-09-29" "DIMAR" 179
"2014-09-30" "DIMAR" 102
"2014-10-01" "DIMAR" 346
"2014-10-02" "DIMAR" 689
"2014-10-03" "DIMAR" 589
"2014-10-04" "DIMAR" 1554
"2014-10-05" "DIMAR" 1566
"2014-10-06" "DIMAR" 936
"2014-10-07" "DIMAR" 225
"2014-10-08" "DIMAR" 178
"2014-10-09" "DIMAR" 198
"2014-10-10" "DIMAR" 121
"2014-10-11" "DIMAR" 326
"2014-10-12" "DIMAR" 117
"2014-10-13" "DIMAR" 350
"2014-10-14" "DIMAR" 101
"2014-10-15" "DIMAR" 63
"2014-10-16" "DIMAR" 144
"2014-10-17" "DIMAR" 75
"2014-10-18" "DIMAR" 344
"2014-10-19" "DIMAR" 77
"2014-10-20" "DIMAR" 164
"2014-10-21" "DIMAR" 68
"2014-10-24" "DIMAR" 148
"2014-10-25" "DIMAR" 82
"2014-10-26" "DIMAR" 25
"2014-10-27" "DIMAR" 126
"2014-10-28" "DIMAR" 38
"2014-10-29" "DIMAR" 218
"2014-10-30" "DIMAR" 175
"2014-10-31" "DIMAR" 341
"2014-11-01" "DIMAR" 56
"2014-11-02" "DIMAR" 73
"2014-11-03" "DIMAR" 87
"2014-11-04" "DIMAR" 43
"2014-11-05" "DIMAR" 71
"2014-11-06" "DIMAR" 187
"2014-11-07" "DIMAR" 59
"2014-11-08" "DIMAR" 172
"2014-11-10" "DIMAR" 13
"2014-11-11" "DIMAR" 36
"2014-11-12" "DIMAR" 165
"2014-11-13" "DIMAR" 132
"2014-11-14" "DIMAR" 129
"2014-11-15" "DIMAR" 196
"2014-11-16" "DIMAR" 100
"2014-11-17" "DIMAR" 177
"2014-11-18" "DIMAR" 122
"2014-11-19" "DIMAR" 53
"2014-11-20" "DIMAR" 148
"2014-11-21" "DIMAR" 33
"2014-11-22" "DIMAR" 51
"2014-11-23" "DIMAR" 76
"2014-11-24" "DIMAR" 190
"2014-11-25" "DIMAR" 106
"2014-11-26" "DIMAR" 35
"2014-11-27" "DIMAR" 108
"2014-11-28" "DIMAR" 78
"2014-11-29" "DIMAR" 66
"2014-11-30" "DIMAR" 29
"2014-12-01" "DIMAR" 61
"2014-12-02" "DIMAR" 179
"2014-12-03" "DIMAR" 365
"2014-12-04" "DIMAR" 408
"2014-12-05" "DIMAR" 228
"2014-12-06" "DIMAR" 44
"2014-12-07" "DIMAR" 124
"2014-12-08" "DIMAR" 245
"2014-12-09" "DIMAR" 1450
"2014-12-10" "DIMAR" 411
"2014-12-11" "DIMAR" 345
"2014-12-12" "DIMAR" 297
"2014-12-13" "DIMAR" 352
"2014-12-14" "DIMAR" 131
"2014-12-15" "DIMAR" 410
"2014-12-16" "DIMAR" 332
"2014-12-17" "DIMAR" 366
"2014-12-18" "DIMAR" 237
"2014-12-19" "DIMAR" 373
"2014-12-20" "DIMAR" 277
"2014-12-21" "DIMAR" 667
"2014-12-22" "DIMAR" 999
"2014-12-23" "DIMAR" 1900
"2014-12-24" "DIMAR" 289
"2014-12-25" "DIMAR" 77
"2014-12-26" "DIMAR" 200
"2014-12-27" "DIMAR" 347
"2014-12-28" "DIMAR" 107
"2014-12-29" "DIMAR" 566
"2014-12-30" "DIMAR" 375
"2014-12-31" "DIMAR" 1765
"2015-01-01" "DIMAR" 378
"2015-01-02" "DIMAR" 982
"2015-01-03" "DIMAR" 776
"2015-01-04" "DIMAR" 1056
"2015-01-05" "DIMAR" 816
"2015-01-06" "DIMAR" 195
"2015-01-07" "DIMAR" 251
"2015-01-08" "DIMAR" 797
"2015-01-09" "DIMAR" 697
"2015-01-10" "DIMAR" 165
"2015-01-11" "DIMAR" 190
"2015-01-12" "DIMAR" 1742
"2015-01-13" "DIMAR" 229
"2015-01-14" "DIMAR" 225
"2015-01-15" "DIMAR" 197
"2015-01-16" "DIMAR" 73
"2015-01-17" "DIMAR" 290
"2015-01-18" "DIMAR" 155
"2015-01-19" "DIMAR" 296
"2015-01-20" "DIMAR" 256
"2015-01-21" "DIMAR" 172
"2014-04-25" "ELIA" 52
"2014-04-26" "ELIA" 197
"2014-04-27" "ELIA" 210
"2014-04-28" "ELIA" 285
"2014-04-29" "ELIA" 401
"2014-04-30" "ELIA" 406
"2014-05-01" "ELIA" 271
"2014-05-02" "ELIA" 330
"2014-05-03" "ELIA" 576
"2014-05-04" "ELIA" 806
"2014-05-05" "ELIA" 924
"2014-05-06" "ELIA" 2962
"2014-05-07" "ELIA" 1218
"2014-05-09" "ELIA" 227
"2014-05-10" "ELIA" 830
"2014-05-11" "ELIA" 426
"2014-05-12" "ELIA" 623
"2014-05-13" "ELIA" 804
"2014-05-14" "ELIA" 921
"2014-05-15" "ELIA" 899
"2014-05-16" "ELIA" 503
"2014-05-17" "ELIA" 556
"2014-05-18" "ELIA" 955
"2014-05-19" "ELIA" 581
"2014-05-20" "ELIA" 661
"2014-05-21" "ELIA" 809
"2014-05-22" "ELIA" 1159
"2014-05-23" "ELIA" 1417
"2014-05-24" "ELIA" 1719
"2014-05-25" "ELIA" 5828
"2014-05-26" "ELIA" 1890
"2014-05-27" "ELIA" 774
"2014-05-28" "ELIA" 837
"2014-05-29" "ELIA" 423
"2014-05-30" "ELIA" 332
"2014-05-31" "ELIA" 241
"2014-06-01" "ELIA" 240
"2014-06-02" "ELIA" 215
"2014-06-03" "ELIA" 261
"2014-06-04" "ELIA" 296
"2014-06-05" "ELIA" 154
"2014-06-06" "ELIA" 160
"2014-06-07" "ELIA" 253
"2014-06-08" "ELIA" 173
"2014-06-09" "ELIA" 355
"2014-06-10" "ELIA" 148
"2014-06-11" "ELIA" 77
"2014-06-12" "ELIA" 54
"2014-06-13" "ELIA" 62
"2014-06-14" "ELIA" 62
"2014-06-15" "ELIA" 44
"2014-06-16" "ELIA" 55
"2014-06-17" "ELIA" 51
"2014-06-18" "ELIA" 55
"2014-06-19" "ELIA" 71
"2014-06-20" "ELIA" 47
"2014-06-22" "ELIA" 1
"2014-06-23" "ELIA" 28
"2014-06-24" "ELIA" 25
"2014-06-25" "ELIA" 34
"2014-06-26" "ELIA" 40
"2014-06-27" "ELIA" 84
"2014-06-28" "ELIA" 150
"2014-06-29" "ELIA" 12
"2014-06-30" "ELIA" 231
"2014-07-01" "ELIA" 144
"2014-07-02" "ELIA" 102
"2014-07-03" "ELIA" 46
"2014-07-04" "ELIA" 41
"2014-07-05" "ELIA" 221
"2014-07-06" "ELIA" 53
"2014-07-07" "ELIA" 172
"2014-07-08" "ELIA" 92
"2014-07-09" "ELIA" 103
"2014-07-10" "ELIA" 60
"2014-07-11" "ELIA" 49
"2014-07-12" "ELIA" 64
"2014-07-13" "ELIA" 101
"2014-07-14" "ELIA" 60
"2014-07-15" "ELIA" 134
"2014-07-16" "ELIA" 67
"2014-07-17" "ELIA" 98
"2014-07-18" "ELIA" 66
"2014-07-19" "ELIA" 57
"2014-07-20" "ELIA" 63
"2014-07-21" "ELIA" 38
"2014-07-22" "ELIA" 42
"2014-07-23" "ELIA" 44
"2014-07-24" "ELIA" 22
"2014-07-25" "ELIA" 34
"2014-07-26" "ELIA" 13
"2014-07-27" "ELIA" 13
"2014-07-28" "ELIA" 20
"2014-07-29" "ELIA" 38
"2014-07-30" "ELIA" 14
"2014-07-31" "ELIA" 28
"2014-08-01" "ELIA" 12
"2014-08-02" "ELIA" 34
"2014-08-03" "ELIA" 92
"2014-08-04" "ELIA" 30
"2014-08-05" "ELIA" 71
"2014-08-06" "ELIA" 32
"2014-08-07" "ELIA" 82
"2014-08-08" "ELIA" 22
"2014-08-09" "ELIA" 16
"2014-08-10" "ELIA" 34
"2014-08-11" "ELIA" 32
"2014-08-12" "ELIA" 71
"2014-08-13" "ELIA" 89
"2014-08-14" "ELIA" 40
"2014-08-24" "ELIA" 148
"2014-08-25" "ELIA" 75
"2014-08-26" "ELIA" 45
"2014-08-27" "ELIA" 40
"2014-08-28" "ELIA" 127
"2014-08-29" "ELIA" 45
"2014-08-30" "ELIA" 43
"2014-09-01" "ELIA" 5
"2014-09-02" "ELIA" 45
"2014-09-03" "ELIA" 109
"2014-09-04" "ELIA" 80
"2014-09-05" "ELIA" 67
"2014-09-06" "ELIA" 57
"2014-09-07" "ELIA" 66
"2014-09-08" "ELIA" 59
"2014-09-09" "ELIA" 71
"2014-09-10" "ELIA" 48
"2014-09-11" "ELIA" 48
"2014-09-12" "ELIA" 42
"2014-09-13" "ELIA" 60
"2014-09-14" "ELIA" 43
"2014-09-15" "ELIA" 55
"2014-09-16" "ELIA" 20
"2014-09-17" "ELIA" 34
"2014-09-18" "ELIA" 37
"2014-09-19" "ELIA" 74
"2014-09-20" "ELIA" 51
"2014-09-21" "ELIA" 27
"2014-09-22" "ELIA" 100
"2014-09-24" "ELIA" 15
"2014-09-25" "ELIA" 77
"2014-09-26" "ELIA" 68
"2014-09-27" "ELIA" 38
"2014-09-28" "ELIA" 53
"2014-09-29" "ELIA" 47
"2014-09-30" "ELIA" 44
"2014-10-01" "ELIA" 64
"2014-10-02" "ELIA" 68
"2014-10-03" "ELIA" 54
"2014-10-04" "ELIA" 53
"2014-10-05" "ELIA" 39
"2014-10-06" "ELIA" 55
"2014-10-07" "ELIA" 54
"2014-10-08" "ELIA" 69
"2014-10-09" "ELIA" 47
"2014-10-10" "ELIA" 116
"2014-10-11" "ELIA" 72
"2014-10-12" "ELIA" 139
"2014-10-13" "ELIA" 193
"2014-10-14" "ELIA" 174
"2014-10-15" "ELIA" 106
"2014-10-16" "ELIA" 85
"2014-10-17" "ELIA" 62
"2014-10-18" "ELIA" 71
"2014-10-19" "ELIA" 39
"2014-10-20" "ELIA" 72
"2014-10-21" "ELIA" 35
"2014-10-24" "ELIA" 109
"2014-10-25" "ELIA" 68
"2014-10-26" "ELIA" 33
"2014-10-27" "ELIA" 30
"2014-10-28" "ELIA" 52
"2014-10-29" "ELIA" 38
"2014-10-30" "ELIA" 49
"2014-10-31" "ELIA" 71
"2014-11-01" "ELIA" 182
"2014-11-02" "ELIA" 51
"2014-11-03" "ELIA" 82
"2014-11-04" "ELIA" 73
"2014-11-05" "ELIA" 50
"2014-11-06" "ELIA" 57
"2014-11-07" "ELIA" 48
"2014-11-08" "ELIA" 61
"2014-11-10" "ELIA" 8
"2014-11-11" "ELIA" 51
"2014-11-12" "ELIA" 30
"2014-11-13" "ELIA" 41
"2014-11-14" "ELIA" 30
"2014-11-15" "ELIA" 45
"2014-11-16" "ELIA" 47
"2014-11-17" "ELIA" 34
"2014-11-18" "ELIA" 37
"2014-11-19" "ELIA" 39
"2014-11-20" "ELIA" 48
"2014-11-21" "ELIA" 42
"2014-11-22" "ELIA" 48
"2014-11-23" "ELIA" 42
"2014-11-24" "ELIA" 52
"2014-11-25" "ELIA" 51
"2014-11-26" "ELIA" 40
"2014-11-27" "ELIA" 56
"2014-11-28" "ELIA" 68
"2014-11-29" "ELIA" 37
"2014-11-30" "ELIA" 67
"2014-12-01" "ELIA" 261
"2014-12-02" "ELIA" 82
"2014-12-03" "ELIA" 53
"2014-12-04" "ELIA" 73
"2014-12-05" "ELIA" 119
"2014-12-06" "ELIA" 39
"2014-12-07" "ELIA" 51
"2014-12-08" "ELIA" 43
"2014-12-09" "ELIA" 36
"2014-12-10" "ELIA" 20
"2014-12-11" "ELIA" 40
"2014-12-12" "ELIA" 64
"2014-12-13" "ELIA" 49
"2014-12-14" "ELIA" 39
"2014-12-15" "ELIA" 51
"2014-12-16" "ELIA" 96
"2014-12-17" "ELIA" 86
"2014-12-18" "ELIA" 135
"2014-12-19" "ELIA" 38
"2014-12-20" "ELIA" 29
"2014-12-21" "ELIA" 56
"2014-12-22" "ELIA" 93
"2014-12-23" "ELIA" 50
"2014-12-24" "ELIA" 47
"2014-12-25" "ELIA" 41
"2014-12-26" "ELIA" 63
"2014-12-27" "ELIA" 46
"2014-12-28" "ELIA" 36
"2014-12-29" "ELIA" 96
"2014-12-30" "ELIA" 78
"2014-12-31" "ELIA" 30
"2015-01-01" "ELIA" 57
"2015-01-02" "ELIA" 85
"2015-01-03" "ELIA" 120
"2015-01-04" "ELIA" 69
"2015-01-05" "ELIA" 58
"2015-01-06" "ELIA" 33
"2015-01-07" "ELIA" 46
"2015-01-08" "ELIA" 53
"2015-01-09" "ELIA" 44
"2015-01-10" "ELIA" 34
"2015-01-11" "ELIA" 39
"2015-01-12" "ELIA" 112
"2015-01-13" "ELIA" 36
"2015-01-14" "ELIA" 39
"2015-01-15" "ELIA" 53
"2015-01-16" "ELIA" 0
"2015-01-17" "ELIA" 0
"2015-01-18" "ELIA" 0
"2015-01-19" "ELIA" 0
"2015-01-20" "ELIA" 0
"2015-01-21" "ELIA" 0
"2014-04-25" "Kidiso" 0
"2014-04-26" "Kidiso" 0
"2014-04-27" "Kidiso" 0
"2014-04-28" "Kidiso" 0
"2014-04-29" "Kidiso" 0
"2014-04-30" "Kidiso" 0
"2014-05-01" "Kidiso" 0
"2014-05-02" "Kidiso" 0
"2014-05-03" "Kidiso" 0
"2014-05-04" "Kidiso" 0
"2014-05-05" "Kidiso" 0
"2014-05-06" "Kidiso" 0
"2014-05-07" "Kidiso" 0
"2014-05-09" "Kidiso" 0
"2014-05-10" "Kidiso" 0
"2014-05-11" "Kidiso" 0
"2014-05-12" "Kidiso" 0
"2014-05-13" "Kidiso" 0
"2014-05-14" "Kidiso" 0
"2014-05-15" "Kidiso" 0
"2014-05-16" "Kidiso" 0
"2014-05-17" "Kidiso" 0
"2014-05-18" "Kidiso" 0
"2014-05-19" "Kidiso" 0
"2014-05-20" "Kidiso" 0
"2014-05-21" "Kidiso" 0
"2014-05-22" "Kidiso" 0
"2014-05-23" "Kidiso" 0
"2014-05-24" "Kidiso" 0
"2014-05-25" "Kidiso" 0
"2014-05-26" "Kidiso" 0
"2014-05-27" "Kidiso" 0
"2014-05-28" "Kidiso" 0
"2014-05-29" "Kidiso" 0
"2014-05-30" "Kidiso" 0
